period,indicator_code,indicator_name,value
2022M05,BTOT,Business_Sector_Confidence,113.1
2022M05,KIFI,Economic_Tendency_Indicator,110.8
2022M05,bhus,Consumer_Confidence,79.9
2022M05,bhusmakro,Consumer_Macro_Index,87.0
2022M05,bhusmikro,Consumer_Micro_Index,83.1
2022M06,BBYG,Construction_Confidence,104.8
2022M06,BTOT,Business_Sector_Confidence,108.2
2022M06,KIFI,Economic_Tendency_Indicator,105.4
2022M06,bhus,Consumer_Confidence,76.6
2022M06,bhusmakro,Consumer_Macro_Index,84.0
2022M06,bhusmikro,Consumer_Micro_Index,80.1
2022M07,BBYG,Construction_Confidence,104.7
2022M07,BTOT,Business_Sector_Confidence,105.9
2022M07,KIFI,Economic_Tendency_Indicator,103.7
2022M07,bhus,Consumer_Confidence,69.7
2022M07,bhusmakro,Consumer_Macro_Index,80.6
2022M07,bhusmikro,Consumer_Micro_Index,71.2
2022M08,BBYG,Construction_Confidence,104.1
2022M08,BTOT,Business_Sector_Confidence,101.9
2022M08,KIFI,Economic_Tendency_Indicator,99.7
2022M08,bhus,Consumer_Confidence,70.4
2022M08,bhusmakro,Consumer_Macro_Index,83.3
2022M08,bhusmikro,Consumer_Micro_Index,71.1
2022M09,BBYG,Construction_Confidence,104.9
2022M09,BTOT,Business_Sector_Confidence,98.5
2022M09,KIFI,Economic_Tendency_Indicator,95.0
2022M09,bhus,Consumer_Confidence,65.3
2022M09,bhusmakro,Consumer_Macro_Index,78.2
2022M09,bhusmikro,Consumer_Micro_Index,65.4
2022M10,BBYG,Construction_Confidence,102.6
2022M10,BTOT,Business_Sector_Confidence,93.5
2022M10,KIFI,Economic_Tendency_Indicator,90.5
2022M10,bhus,Consumer_Confidence,63.8
2022M10,bhusmakro,Consumer_Macro_Index,78.3
2022M10,bhusmikro,Consumer_Micro_Index,59.5
2022M11,BBYG,Construction_Confidence,101.6
2022M11,BTOT,Business_Sector_Confidence,91.6
2022M11,KIFI,Economic_Tendency_Indicator,90.0
2022M11,bhus,Consumer_Confidence,67.1
2022M11,bhusmakro,Consumer_Macro_Index,79.0
2022M11,bhusmikro,Consumer_Micro_Index,65.4
2022M12,BBYG,Construction_Confidence,101.4
2022M12,BTOT,Business_Sector_Confidence,91.5
2022M12,KIFI,Economic_Tendency_Indicator,89.7
2022M12,bhus,Consumer_Confidence,65.8
2022M12,bhusmakro,Consumer_Macro_Index,79.6
2022M12,bhusmikro,Consumer_Micro_Index,61.6
2023M01,BBYG,Construction_Confidence,99.4
2023M01,BTOT,Business_Sector_Confidence,90.0
2023M01,KIFI,Economic_Tendency_Indicator,87.3
2023M01,bhus,Consumer_Confidence,64.6
2023M01,bhusmakro,Consumer_Macro_Index,78.3
2023M01,bhusmikro,Consumer_Micro_Index,62.0
2023M02,BBYG,Construction_Confidence,97.2
2023M02,BTOT,Business_Sector_Confidence,90.4
2023M02,KIFI,Economic_Tendency_Indicator,88.7
2023M02,bhus,Consumer_Confidence,67.8
2023M02,bhusmakro,Consumer_Macro_Index,81.6
2023M02,bhusmikro,Consumer_Micro_Index,63.1
2023M03,BBYG,Construction_Confidence,97.2
2023M03,BTOT,Business_Sector_Confidence,90.9
2023M03,KIFI,Economic_Tendency_Indicator,89.2
2023M03,bhus,Consumer_Confidence,69.2
2023M03,bhusmakro,Consumer_Macro_Index,81.9
2023M03,bhusmikro,Consumer_Micro_Index,64.2
2023M04,BBYG,Construction_Confidence,95.1
2023M04,BTOT,Business_Sector_Confidence,87.5
2023M04,KIFI,Economic_Tendency_Indicator,86.5
2023M04,bhus,Consumer_Confidence,70.3
2023M04,bhusmakro,Consumer_Macro_Index,82.9
2023M04,bhusmikro,Consumer_Micro_Index,66.2
2023M05,BBYG,Construction_Confidence,98.5
2023M05,BTOT,Business_Sector_Confidence,89.5
2023M05,KIFI,Economic_Tendency_Indicator,88.9
2023M05,bhus,Consumer_Confidence,73.5
2023M05,bhusmakro,Consumer_Macro_Index,85.7
2023M05,bhusmikro,Consumer_Micro_Index,69.3
2023M06,BBYG,Construction_Confidence,92.6
2023M06,BTOT,Business_Sector_Confidence,89.8
2023M06,KIFI,Economic_Tendency_Indicator,88.8
2023M06,bhus,Consumer_Confidence,74.3
2023M06,bhusmakro,Consumer_Macro_Index,85.5
2023M06,bhusmikro,Consumer_Micro_Index,68.9
2023M07,BBYG,Construction_Confidence,89.8
2023M07,BTOT,Business_Sector_Confidence,88.9
2023M07,KIFI,Economic_Tendency_Indicator,87.3
2023M07,bhus,Consumer_Confidence,74.1
2023M07,bhusmakro,Consumer_Macro_Index,86.0
2023M07,bhusmikro,Consumer_Micro_Index,70.1
2023M08,BBYG,Construction_Confidence,91.0
2023M08,BTOT,Business_Sector_Confidence,87.4
2023M08,KIFI,Economic_Tendency_Indicator,85.7
2023M08,bhus,Consumer_Confidence,73.0
2023M08,bhusmakro,Consumer_Macro_Index,85.0
2023M08,bhusmikro,Consumer_Micro_Index,69.5
2023M09,BBYG,Construction_Confidence,91.5
2023M09,BTOT,Business_Sector_Confidence,87.3
2023M09,KIFI,Economic_Tendency_Indicator,87.0
2023M09,bhus,Consumer_Confidence,71.8
2023M09,bhusmakro,Consumer_Macro_Index,83.9
2023M09,bhusmikro,Consumer_Micro_Index,68.5
2023M10,BBYG,Construction_Confidence,90.3
2023M10,BTOT,Business_Sector_Confidence,88.1
2023M10,KIFI,Economic_Tendency_Indicator,87.5
2023M10,bhus,Consumer_Confidence,73.1
2023M10,bhusmakro,Consumer_Macro_Index,84.4
2023M10,bhusmikro,Consumer_Micro_Index,70.2
2023M11,BBYG,Construction_Confidence,91.1
2023M11,BTOT,Business_Sector_Confidence,87.1
2023M11,KIFI,Economic_Tendency_Indicator,86.6
2023M11,bhus,Consumer_Confidence,74.6
2023M11,bhusmakro,Consumer_Macro_Index,85.3
2023M11,bhusmikro,Consumer_Micro_Index,72.4
2023M12,BBYG,Construction_Confidence,92.5
2023M12,BTOT,Business_Sector_Confidence,87.4
2023M12,KIFI,Economic_Tendency_Indicator,85.5
2023M12,bhus,Consumer_Confidence,77.0
2023M12,bhusmakro,Consumer_Macro_Index,88.5
2023M12,bhusmikro,Consumer_Micro_Index,73.3
2024M01,BBYG,Construction_Confidence,90.4
2024M01,BTOT,Business_Sector_Confidence,91.4
2024M01,KIFI,Economic_Tendency_Indicator,91.0
2024M01,bhus,Consumer_Confidence,82.5
2024M01,bhusmakro,Consumer_Macro_Index,92.5
2024M01,bhusmikro,Consumer_Micro_Index,76.9
2024M02,BBYG,Construction_Confidence,93.0
2024M02,BTOT,Business_Sector_Confidence,91.4
2024M02,KIFI,Economic_Tendency_Indicator,90.8
2024M02,bhus,Consumer_Confidence,83.8
2024M02,bhusmakro,Consumer_Macro_Index,93.4
2024M02,bhusmikro,Consumer_Micro_Index,78.8
